country_iso3,gdp_us_dollar
ABW,2919553073.0
AFG,19907111419.0
AGO,116193649124.0
ALB,11386846319.0
AND,2789870188.0
Arab World,2534723688142.0
ARE,358135057862.0
ARG,594749285413.0
ARM,10553337673.0
ASM,661000000.0
ATG,1336692593.0
AUS,1351693984525.0
AUT,381817565894.0
AZE,53074370486.0
BDI,3104394858.0
BEL,462149679344.0
BEN,11388160958.0
BFA,11832159276.0
BGD,195078678697.0
BGR,50647442757.0
BHR,31050638298.0
BHS,11710800000.0
BIH,16211541820.0
BLR,56454734397.0
BLZ,1723800000.0
BMU,6654541000.0
BOL,33000198248.0
BRA,1802214373741.0
BRB,4715000000.0
BRN,12930394938.0
BTN,2003598213.0
BWA,14420593484.0
CAF,1695825708.0
CAN,1556129524418.0
Central Europe and the Baltics,1292086768711.0
CHE,679832292005.0
CHL,243919085309.0
CHN,11061553079876.0
CIV,45814637971.0
CMR,30928653814.0
ZAR,37917704900.0
COG,11953249530.0
COL,293481748241.0
COM,966029542.0
Cabo Verde,1596800287.0
CRI,54775994479.0
Caribbean small states,72828471571.0
CUB,87133000000.0
Curacao,3151910782.0
CYM,4708336756.0
CYP,19842404305.0
CZE,188033050460.0
DEU,3356235704120.0
DJI,2430287967.0
DMA,540737037.0
DNK,302673070847.0
DOM,71164825258.0
DZA,166361491141.0
East Asia & Pacific (excluding high income),13294602254118.0
Early-demographic dividend,10311638541293.0
East Asia & Pacific,21911638600130.0
Europe & Central Asia (excluding high income),2916638590939.0
Europe & Central Asia,20450302716606.0
ECU,99290381000.0
EGY,329366576819.0
Euro area,11668482860490.0
ESP,1195119269972.0
EST,23048864243.0
ETH,64589334979.0
EUN,13545081361696.0
Fragile and conflict affected situations,1726905458298.0
FIN,234440080998.0
FJI,4682546881.0
FRA,2438207896252.0
Faroe Islands,2518096286.0
FSM,316489900.0
GAB,14383107714.0
GBR,2928591002003.0
GEO,14953950557.0
GHA,48564863888.0
GIN,8794202444.0
GMB,1378176868.0
GNB,1048229629.0
GNQ,13185496836.0
GRC,196591353872.0
GRD,997007925.9
GRL,2499115623.0
GTM,62186186576.0
GUM,5710000000.0
GUY,4279840362.0
High income,48169284431931.0
"Hong Kong SAR, China",309383627029.0
HND,20979767785.0
Heavily indebted poor countries (HIPC),676805764503.0
HRV,49525747504.0
HTI,14857386164.0
HUN,125074286021.0
IBRD only,25950065325006.0
IDA & IBRD total,28039830398546.0
IDA total,2102314112248.0
IDA blend,999758125096.0
IDN,860854235065.0
IDA only,1095337766619.0
Isle of Man,7085288006.0
IND,2103587817042.0
IRL,291499812215.0
IRN,384951479697.0
IRQ,177498577313.0
ISL,17389101639.0
ISR,299813121135.0
ITA,1835899237320.0
JAM,14187696311.0
JOR,38587017944.0
JPN,4389475622589.0
KAZ,184388432149.0
KEN,64007750169.0
KGZ,6678178340.0
KHM,18049954289.0
KIR,171117872.4
KNA,923155555.6
KOR,1465773245547.0
KWT,114567298106.0
Latin America & Caribbean (excluding high income),5006910615828.0
LAO,14390442307.0
LBN,49939374833.0
LBR,3177000000.0
LBY,27842131480.0
LCA,1808079889.0
Latin America & Caribbean,5529111180661.0
Least developed countries: UN classification,965699470815.0
Low income,533734870124.0
LIE,6268391521.0
LKA,80604080689.0
Lower middle income,5182268735537.0
Low & middle income,27066524748194.0
LSO,2372280103.0
Late-demographic dividend,18471432307959.0
LTU,41418872976.0
LUX,57744457955.0
LVA,27239653844.0
"Macao SAR, China",45361678147.0
MAR,101179808076.0
MCO,6261622101.0
MDA,7745231660.0
MDG,11323023787.0
MDV,4109447297.0
Middle East & North Africa,3143961312693.0
MEX,1171867608198.0
MHL,184599600.0
Middle income,26539231023473.0
MKD,10064515432.0
MLI,13104802016.0
MLT,11091434435.0
MMR,67822772707.0
Middle East & North Africa (excluding high income),1440212700192.0
YUG,4053097851.0
MNG,11749620620.0
MNP,931000000.0
MOZ,15950969019.0
MRT,6166857629.0
MUS,11692287066.0
MWI,6373212641.0
MYS,301354803994.0
North America,19787488505418.0
NAM,11272143473.0
NER,9685577941.0
NGA,486803295098.0
NIC,12756706583.0
NLD,765264949781.0
NOR,385801550067.0
NPL,21410840909.0
NRU,86779266.16
NZL,177467529071.0
OECD members,47286499263674.0
OMN,68399663322.0
Other small states,370774396652.0
PAK,270556131701.0
PAN,54091700000.0
PER,189805300842.0
PHL,306445871632.0
PLW,280457700.0
PNG,21723531182.0
POL,477811911394.0
Pre-demographic dividend,1340468680425.0
PRI,103375500000.0
PRT,199313894327.0
PRY,36164068797.0
West Bank and Gaza,13972400000.0
Pacific island small states,9049548346.0
Post-demographic dividend,44518542519300.0
QAT,161739955578.0
ROM,177729210875.0
RUS,1363481063447.0
RWA,8545441361.0
South Asia,2697257705966.0
SAU,654269902889.0
SDN,74294508240.0
