country_iso3,foreign_direct_investment_inflows,gdp_growth,population,net_barter_of_trade,area,industry_of_gdp,continent,agriculture_forestry_fishing_of_gdp,merchandise_of_gdp,gdp_us_dollar,gdp_per_capita,landlocked,inflation_rate,langoff_1
COM,3919473.025,3.815702113,813890.0,97.84979832,1862,9.137350096,Africa,31.89888687,27.10128324,1077439663.0,1323.814958,0,0.09,Arabic
CRI,2868934829.0,3.860198454,4949955.0,99.90802204,51076,19.31453971,America,4.699776332,45.5499044,58481858043.0,12225.57449,0,1.62590693,Spanish
CYP,12249400600.0,5.154777146,1179685.0,90.53554651,9251,11.26002578,Europe,1.840274944,55.07896719,22729184365.0,26444.07438,0,0.5317664962,Greek
CZE,11234740946.0,5.168724304,10594438.0,103.4637821,78864,32.70829701,Europe,2.057606888,158.0275688,218628940952.0,20636.19995,1,2.450533985,Czech
DEU,109505815447.0,2.601976005,82657002.0,100.2129412,357325,27.51108943,Europe,0.826170449,71.07917614,3682602479929.0,44442.77184,0,1.509496558,German
DMA,24103787.49,-6.79942797,71460.0,107.5411464,751,11.10889453,America,13.4493716,40.3972755,519837037.0,7274.517731,0,0.2962528893,English
DNK,3607276300.0,2.821736341,5764980.0,100.3269168,43094,20.74323784,Europe,1.30480036,58.85293687,332121063806.0,57610.09818,0,1.14713217,Danish
DOM,3597900000.0,4.666704676,10513111.0,106.5096662,48734,28.068774,America,5.342666643,34.83713154,79997975623.0,7609.353275,0,3.279556947,Spanish
DZA,1230243451.0,1.3,41389174.0,176.7435931,2381741,36.78759496,Africa,11.75607379,47.76679761,170163165961.0,4109.703442,0,5.59111591,Arabic
ECU,624469412.3,2.368386526,16785356.0,122.288014,275716,32.52358756,America,9.329258912,37.52018465,104295862000.0,6213.503127,0,0.4173355887,Spanish
EGY,7408700000.0,4.181221001,96442590.0,149.0685022,1001449,33.75076369,Africa,11.4852853,37.0040438,235733695652.0,2444.290387,0,29.50660839,Arabic
ESP,31565354024.0,2.973641191,46593236.0,91.93509651,505954,20.0600413,Europe,2.788529152,51.2879716,1312539279462.0,28100.58624,0,1.956083333,Spanish
EST,1727022619.0,5.49915471,1317384.0,94.74942653,45227,23.61594229,Europe,2.374276902,116.1722542,26951648829.0,20407.92738,0,3.417235495,Estonian
ETH,4017159565.0,9.564189643,106399926.0,141.7854298,1127127,23.58190618,Africa,33.77928067,22.97030461,81770791971.0,768.5230154,1,10.68172955,Amharic
FIN,17149122038.0,3.270172274,5508214.0,90.87155089,336593,24.40068758,Europe,2.315942042,54.37255647,255232257244.0,46297.49635,0,0.7540150471,Swedish
FJI,387602565.3,5.353631074,877460.0,110.3761686,18333,15.69404967,Pacific,10.53182736,63.0626744,5353404419.0,6101.02389,0,3.347578348,English
FRA,35868111746.0,2.291419994,66918020.0,89.20320726,547026,17.24115265,Europe,1.542414774,44.60206888,2595151045198.0,38685.25849,0,1.032282751,French
GAB,1314029330.0,0.4726420309,2064812.0,159.2813093,267667,45.46730899,Africa,5.265764844,55.95637016,14929488771.0,7230.434912,0,2.651925831,French
GBR,125358809934.0,1.892077007,66058859.0,99.62914398,244110,18.16743097,Europe,0.573629479,40.63870402,2666229179958.0,40304.72308,0,2.557755776,English
GEO,1918136481.0,4.842603225,3728004.0,148.6147808,69700,20.21436843,Asia,6.240186843,66.50899008,16242916916.0,4357.000936,0,6.035317253,Georgian
GHA,3254990000.0,8.143446549,29121464.0,183.6060564,238538,30.37133117,Africa,20.08068434,45.00281178,58998132330.0,2020.68179,0,11.6995402,English
GIN,577590000.0,10.29990722,12067516.0,110.2555918,245857,31.6539845,Africa,20.52847253,78.23980191,10324668267.0,855.5752706,0,8.91452597,French
GMB,5445631.489,4.822611249,2213900.0,105.1393645,11295,17.89275502,Africa,21.00189469,44.65384044,1504909753.0,679.7550717,0,8.034189745,English
GNB,15691197.95,5.919176626,1828146.0,102.2041055,36125,12.60017043,Africa,49.15780779,46.66054454,1350177128.0,738.5499449,0,1.691114618,Portuguese
GNQ,304827249.5,-5.667502957,1262008.0,144.3169053,28051,56.86222809,Africa,2.315463397,65.91309531,12200914930.0,9667.857801,0,0.7455992185,Spanish
GRC,3439131880.0,1.505099396,10754679.0,89.23662742,131621,13.76140452,Europe,3.850979302,43.1406335,203588424740.0,18562.22943,0,1.121235477,Greek
GRD,138812161.5,4.442740288,110874.0,96.8358338,345,12.71587675,America,5.371543258,39.97565269,1125685185.0,10152.83281,0,0.9084582559,English
GTM,998344470.0,3.02343025,16087418.0,184.2438973,108889,21.90490978,America,9.696286632,40.99972773,71612352645.0,4454.04815,0,4.424536552,Spanish
GUY,327343651.2,3.734494659,775218.0,127.9165455,214970,26.20714795,America,22.75803229,64.88809768,4748174334.0,6124.95367,0,1.904656155,English
HND,949955941.5,4.842913911,9429016.0,133.499715,112088,26.53892231,America,12.66976811,86.72544346,23136232230.0,2453.727115,0,3.934360844,Spanish
HRV,476823315.6,3.439217352,4124531.0,98.09119572,56538,20.9259008,Europe,2.931888891,73.71447019,55481644098.0,13451.62495,0,1.129372103,Serbo-Croatian
HTI,374855000.0,2.286127252,10982367.0,265.3915951,27750,23.50838932,America,18.8142008,34.26244216,14213814583.0,1294.239628,0,10.68008872,French
HUN,-12133055293.0,4.316780987,9787966.0,102.7105571,93032,25.21960226,Europe,3.759895579,154.8142936,142961605733.0,14605.85435,1,2.348242812,Hungarian
IDN,20510310832.0,5.069785901,264650969.0,119.575544,1933658,39.3791548,Asia,13.15663085,32.0726653,1015618742566.0,3837.578024,0,3.80879807,Indonesian
IND,39966091359.0,7.043820855,1338676779.0,103.9498284,3287590,26.50001665,Asia,16.5583314,28.25471031,2652754685835.0,1980.66702,0,3.328173375,English
IRL,58300808408.0,8.145296263,4807388.0,94.81090644,70285,36.42470964,Europe,1.159166534,68.11073044,335663113508.0,70413.12183,0,0.3405315615,English
IRN,5019000000.0,3.755196452,80673888.0,144.6445906,1648100,34.91010902,Asia,9.499745415,31.94442917,445345256459.0,5520.314782,0,8.044924377,Persian
IRQ,-5032400000.0,-2.494642939,37552789.0,133.6422561,437072,50.69116668,Asia,2.923230267,58.80597336,195473049873.0,5076.690795,0,0.1840588988,Arabic
ISL,-6999892981.0,4.545982903,343400.0,91.91079263,102819,19.51523979,Europe,3.782246457,47.89252435,24488176541.0,72010.14903,0,1.760415592,Icelandic
ISR,16892500000.0,3.536703171,8713300.0,110.4940886,21621,18.92635885,Asia,1.166728646,36.94041631,353253406983.0,40474.66813,0,0.244953121,Hebrew
ITA,11138429977.0,1.667859041,60536709.0,102.3166725,301323,21.30040502,Europe,1.972684673,49.08351105,1961796197354.0,32326.67421,0,1.226533166,Italian
JAM,888835228.5,1.003365318,2920848.0,92.8278372,10991,19.43705228,America,6.63178586,48.13292468,14806340821.0,5070.099503,0,4.37839865,English
JOR,2029718310.0,2.087114619,9785840.0,73.54866252,91862,24.60354689,Asia,4.762526361,67.63994901,41408960787.0,4231.51828,0,3.323894476,Arabic
JPN,18802251208.0,2.168290737,126785797.0,68.68033082,377801,29.16251296,Asia,1.212040944,28.15827368,4866864409658.0,38386.51115,0,0.467211747,Japanese
KAZ,4712631471.0,4.1,18037776.0,159.7326018,2717300,32.3252253,Asia,4.51698454,46.50317898,166805800596.0,9247.581331,1,7.440004373,Kazakh
KEN,1266137283.0,4.805696525,50221146.0,106.9121535,582646,16.78943539,Africa,34.83122904,28.41005341,78965004656.0,1572.345734,0,8.005722791,English
KGZ,-107212800.0,4.739937254,6198200.0,133.6169738,198500,27.30809347,Asia,12.5145789,81.25474462,7702934800.0,1242.769643,1,3.175309864,Kyrgyz
KHM,2788084322.0,6.829082448,16009413.0,72.75436401,181035,30.84892761,Asia,23.36144048,115.2580101,22177200512.0,1385.260066,0,2.890924692,Khmer
KIR,784797.2549,0.8915081704,114153.0,114.1745758,717,12.4861883,Pacific,30.51097161,77.95971484,187276210.9,1640.57196,0,0.3555208885,English
KNA,40222156.59,-1.977341942,52036.0,70.02986413,269,27.93238599,America,1.109315501,36.01003065,996944444.4,19158.7448,0,0.6949167116,English
KOR,17912900000.0,3.15963574,51361911.0,59.40316948,99484,34.76630854,Asia,1.850756295,64.79284624,1623901496836.0,31616.8434,0,1.944455907,Korean
KWT,113012065.0,-4.712106209,4056102.0,142.1355959,17818,55.61921587,Asia,0.525092038,73.39067365,120707220574.0,29759.46744,0,2.171832985,Arabic
LAO,1693080811.0,6.892530873,6953031.0,102.3044275,236800,30.9124754,Asia,16.19975986,62.54046927,16853087485.0,2423.847598,1,0.8254786076,Lao
LBN,2522409653.0,0.8506995588,6819373.0,108.922747,10452,15.03945347,Asia,2.933449914,45.04462268,53140638269.0,7792.59886,0,4.321352183,Arabic
LBR,247842983.0,2.468626095,4702224.0,136.0291644,111369,10.19984142,Africa,37.09428374,44.04260597,3285455000.0,698.7023587,0,12.41963239,English
LBY,0.0,26.68090263,6580723.0,129.1093773,1759540,80.0,Africa,1.0,77.6623044,37883243650.0,5756.699325,0,28.05,Arabic
LCA,37684236.08,3.48884866,180955.0,98.78521373,617,10.97808353,America,1.761089826,39.11779063,1999090407.0,11047.44499,0,0.1184177258,English
LKA,1372723043.0,3.578169679,21444000.0,115.9619524,65610,26.77469863,Asia,7.833028974,36.993077,87428125558.0,4076.747003,0,7.704137679,Sinhala
LSO,123091950.4,-1.321685253,2091532.0,80.56307375,30355,28.57984272,Africa,4.964821378,134.1226642,2405289384.0,1102.94441,1,4.447699374,English
LTU,1383731106.0,4.282596951,2828403.0,98.65455398,65300,25.89634329,Europe,3.50751155,130.4743798,47758736932.0,16843.69965,0,3.722888623,Lithuanian
LUX,-6815331955.0,1.801180955,596336.0,72.82777185,2586,11.24396148,Europe,0.2445849332,60.34823604,64181944723.0,107361.3069,1,1.730799591,French
LVA,1152510428.0,3.25072029,1942248.0,105.5521248,64589,19.04196847,Europe,3.552820952,102.5522754,30458763246.0,15643.48563,0,2.930363124,Latvian
MAR,2680109856.0,4.248949208,35581257.0,111.2928518,710850,26.15947585,Africa,12.36250582,63.60345084,109682728023.0,3035.454433,0,0.7546632493,Arabic
MDA,149520000.0,4.69079339,2755158.0,74.33987828,33700,21.8746301,Europe,11.47225788,75.03805689,9669759987.0,3509.69345,0,6.570229975,Romanian
MDG,464856589.6,3.933316171,25570511.0,74.14072862,587041,13.51391573,Africa,24.55013844,49.46755503,13176313233.0,515.2933093,0,8.609050754,French
MDV,457808313.6,7.210479788,496398.0,107.5643403,298,11.24788036,Asia,5.351363387,56.32733607,4754352301.0,9577.702376,0,2.817473382,Maldivian
MEX,33016832348.0,2.113129135,124777326.0,91.79148495,1967210,30.94623498,America,3.381073882,72.62080708,1158913035796.0,9287.849587,0,6.04145724,Spanish
MKD,380738977.5,1.081772738,2081996.0,94.49337295,25713,24.25894588,Europe,7.873245042,118.3968688,11307058382.0,5432.414531,1,1.351618897,Macedonian
MLI,559362392.1,5.305456084,18512429.0,171.562567,1240142,18.84708993,Africa,37.43243963,46.74042369,15365627045.0,830.0215153,1,1.759857429,French
MLT,3757935765.0,8.015063134,467999.0,137.4413712,316,12.05790712,Europe,0.6815075872,66.97526819,13146963159.0,28250.69777,0,1.364354482,English
MMR,4804272487.0,6.404977325,53382521.0,97.41143432,678500,36.74276972,Asia,23.0027856,49.34415859,68945867478.0,1257.803576,0,4.572536553,Burmese
MNG,1494350363.0,5.337037933,3113788.0,185.9697009,1565500,38.35641547,Asia,10.27895232,92.23022673,11425755280.0,3669.406934,1,4.310762541,Mongolian
MOZ,2319071971.0,3.741317593,28649007.0,100.4227396,801590,24.01534396,Africa,25.04368115,79.20367094,13219084261.0,461.4150941,0,15.11320739,Portuguese
MRT,588217194.8,3.497175006,4282582.0,138.9969776,1030700,25.47882694,Africa,20.85649234,77.60457525,6758390729.0,1577.86437,0,2.275034573,Arabic
MUS,479995890.3,3.814152115,1264613.0,118.9300271,2045,17.63556948,Africa,3.095793754,57.28788382,13259351418.0,10484.90583,0,3.666997027,English
MWI,90200000.0,4.000030517,17670193.0,117.4648103,118484,18.06297566,Africa,23.33315561,39.04378162,6303292264.0,497.3104097,1,11.54339392,English
MYS,9368469823.0,5.81272241,31104655.0,106.0252197,329758,38.1146722,Asia,8.598277535,129.5930028,319112136545.0,10259.30481,0,3.871201158,Malay
NAM,280476975.0,-0.2562711483,2402623.0,129.4017562,825518,26.07701853,Africa,7.676156221,91.32888812,12741746524.0,5367.114673,0,6.145799811,English
NER,338710710.1,4.999097165,21602388.0,154.1802375,1267000,21.07097079,Africa,35.7974708,28.22278391,11189541083.0,517.9770442,1,2.796373189,French
NGA,2412974916.0,0.8058866195,190873247.0,140.9469853,923768,22.3151172,Africa,20.84657143,20.15747482,375746469539.0,1968.565398,0,16.52353998,English
NIC,1035400000.0,4.630821552,6384843.0,193.6894461,130670,24.81685048,America,14.99665684,93.41421849,13785909906.0,2159.161926,0,3.850671663,Spanish
NLD,223200484756.0,2.910902513,17131296.0,93.44233169,41863,17.70313732,Europe,1.855594964,147.4749139,833869641687.0,48554.99228,0,1.381458714,Dutch
NOR,5900604724.0,2.323258407,5276968.0,119.0225564,323752,29.79126547,Europe,1.97646282,45.75947943,398393955269.0,75496.75406,0,1.875100596,Norwegian
NPL,196265098.6,8.223499483,27632682.0,80.46528148,147181,12.86258589,Asia,23.69954846,38.26852548,25180583770.0,1048.453755,1,3.627096107,Nepali
NZL,2093698050.0,3.163097542,4813600.0,147.6389552,268676,20.41343935,Pacific,5.903578884,37.78679537,205415864858.0,42992.89527,0,1.850787675,English
OMN,2917295189.0,0.3463220405,4665926.0,119.3701344,212379,49.87612116,Asia,2.27322728,84.06671367,70598026283.0,15127.88819,0,1.597160603,Arabic
PAK,2496000000.0,5.554277437,207906210.0,52.5416544,882872,17.8043074,Asia,22.92586789,26.04186733,304567253219.0,1464.926195,0,4.08537368,Urdu
PAN,3976868000.0,5.599006763,4106764.0,169.8856847,75648,29.35226284,America,2.38478394,53.09576594,62219000000.0,15146.40237,0,0.8755859188,Spanish
PER,6860492819.0,2.518835442,31444299.0,175.401591,1285216,31.29788412,America,6.77975956,40.42847684,211007207484.0,6710.507602,0,2.80283917,Spanish
PHL,10256442399.0,6.930988326,105172921.0,82.84495881,300000,30.12655058,Asia,10.18295413,51.94031588,328480738147.0,3123.245642,0,2.853187726,English
PLW,27484632.72,-1.916360453,17809.0,98.94223249,487,8.332377979,Pacific,3.204677414,57.32125206,286106800.0,16065.29283,0,1.280462619,English
PNG,161470622.8,3.534610884,8438038.0,174.8264631,462840,36.35985974,Pacific,17.64956891,57.2097836,22742613549.0,2695.249009,0,5.42204568,English
POL,11762000000.0,4.83065457,37974826.0,98.89419785,312685,28.35149648,Europe,2.872298457,88.9208179,526508877305.0,13864.68176,0,2.075935537,Polish
PRT,10683844361.0,3.506344739,10300300.0,95.49292117,92389,19.11726582,Europe,2.095868576,63.80702479,221357874719.0,21437.3475,0,1.368614116,Portuguese
PRY,744619762.9,4.953771979,6867058.0,126.1134533,406752,34.05183999,America,10.5267434,52.70900776,39008900332.0,5678.869972,1,3.602477413,Spanish
QAT,985989011.0,-1.49760469,2724727.0,139.9430274,11437,56.68796532,Asia,0.2147415368,60.45594703,161099122215.0,59124.86727,0,0.3948789141,Arabic
RUS,28557440000.0,1.825790064,144496739.0,127.7385849,17075400,30.67329689,Asia,3.55363209,37.563666,1574199387071.0,10720.33266,0,3.683329444,Russian
RWA,274025990.7,3.976289694,11980960.0,191.5959769,26338,17.28421569,Africa,26.34544257,35.45839093,9253098954.0,772.3169891,1,8.279536723,French
SAU,1418843614.0,-0.7415026515,33101183.0,103.8568963,2153168,45.84756293,Asia,2.528472506,51.75154208,688586244287.0,20802.46631,0,-0.8381945797,Arabic
SEN,588292998.0,7.407486186,15419354.0,115.068975,196722,23.27769428,Africa,14.98203382,46.28376172,20996564752.0,1361.701972,0,1.318153148,French
SGP,100786356971.0,4.336604919,5612253.0,84.39635131,646,23.54481011,Asia,0.03077311817,204.2796047,341863349989.0,61176.45636,0,0.5762603102,English
SLE,413724476.1,4.211182649,7488427.0,56.34621901,73326,5.157286021,Africa,60.28354504,49.95216073,3739577973.0,499.3809746,0,18.2198092,English
SLV,503801415.2,2.249942252,6388124.0,95.86047171,21041,25.17150269,America,5.392966949,65.38239816,24979200000.0,3910.255969,0,1.012354033,Spanish
STP,34208489.03,3.848982387,207086.0,103.7784279,964,16.12703462,Africa,10.87890247,43.12936833,375614556.4,1813.807434,0,5.695088786,Portuguese
SUR,96075554.74,1.76230389,570501.0,140.619554,163820,38.27538765,America,10.91733908,91.10086045,3216207914.0,6295.560562,0,21.99694302,Dutch
SVK,4225581974.0,3.043279556,5439232.0,94.97718922,49036,28.87917174,Europe,2.389406575,173.3346548,95494424979.0,17504.21134,1,1.311945882,Slovak
SVN,1196228605.0,4.79354876,2066388.0,95.10817185,20256,28.36129976,Europe,1.819732271,153.7574574,48586603448.0,23454.73952,0,1.429107433,Slovenian
SWE,28044044009.0,2.567924525,10057698.0,90.35066989,449964,22.12837188,Europe,1.443538229,56.76975153,541018749769.0,53791.50873,0,1.794499047,Swedish
SWZ,-57647593.39,2.026570236,1124808.0,116.7537046,17364,33.87894676,Africa,8.427754751,77.51580581,4403000000.0,3914.421839,1,6.221375289,Swati
SYC,124465535.7,4.375995958,95843.0,86.70532851,455,11.12152391,Africa,1.880676005,121.2867176,1524486800.0,15906.08391,0,2.856795756,English
TCD,363381636.4,-2.988695986,15016761.0,134.3639001,1284005,14.62854777,Africa,48.61308641,44.71823255,10000395242.0,665.9488849,1,-1.53709963,French
TGO,88558699.5,4.357413915,7698476.0,119.4735885,56785,21.32328587,Africa,20.63860852,45.18821661,4819949975.0,830.7452767,0,-0.9802894955,French
THA,8285169820.0,4.066250349,69209817.0,102.633045,513115,35.01875953,Asia,8.406412587,100.3937791,456294704153.0,6593.818352,0,0.6656318931,Thai
TJK,185827080.7,7.617492691,8880270.0,97.02487428,143095,31.84685796,Asia,20.28329632,52.71719891,7157865188.0,848.6723799,1,7.31,Tajik
TKM,2085944000.0,6.500000047,5757667.0,151.2957792,488100,47.04388965,Asia,11.11780748,31.71678896,37926285714.0,6587.092604,1,8.04,Turkmen
TON,-5613753.358,3.322432544,102002.0,116.9005426,748,16.34949548,Pacific,16.8054005,54.30306796,460379145.0,4513.432531,0,7.442245466,Tongan
TTO,-470882577.7,-2.312115621,1384060.0,129.8366482,5130,39.68925027,America,1.239704274,69.84008052,22474828527.0,16173.74005,0,1.880384402,English
TUN,810936482.8,1.916928327,11433438.0,101.8697215,164150,23.68111379,Africa,9.685051553,87.57729389,39802430355.0,3481.241106,0,5.308848396,Arabic
TUR,11042000000.0,7.501997494,81116451.0,97.34952524,780576,29.13172126,Europe,6.038629796,46.9396687,858988610574.0,10589.66772,0,11.14431108,Turkish
TZA,940523072.2,6.785680114,54660345.0,163.8287448,945090,25.099525,Africa,28.74208607,23.2780463,53320625959.0,1004.906588,0,5.318716052,English
UGA,802704141.0,3.809129029,41166588.0,120.7586297,241038,26.03099481,Africa,23.45883538,27.63748713,30756466548.0,746.8307512,1,5.640931922,English
UKR,3918000000.0,2.466035625,44831135.0,84.80406224,603677,23.36948981,Europe,10.18636126,82.78251715,112190355158.0,2640.675677,0,14.43832275,Ukrainian
URY,2639886037.0,2.591338692,3436645.0,120.0817841,176215,17.83664815,America,5.345332148,25.44759541,59530088537.0,18690.89384,0,6.218093826,Spanish
USA,366995000000.0,2.369800784,325122128.0,99.594485,9529106,18.25140547,America,0.9498060724,20.23616237,19519353692000.0,60109.65573,0,2.130110004,English
UZB,1797341436.0,4.46152609,32388600.0,159.0708187,447400,24.72392475,Asia,30.07365153,37.38002103,59159945321.0,1826.566919,1,13.9,Uzbek
VCT,153111526.4,1.000357879,109826.0,112.4234265,389,15.0027117,America,6.933535308,46.95915619,792177777.8,7213.025857,0,2.153336488,English
VNM,14100000000.0,6.81224566,94600643.0,136.9864737,331114,33.39912804,Asia,15.34488286,191.229447,223779865815.0,2365.521615,0,3.520256888,Vietnamese
WSM,9215371.787,1.044879689,195358.0,84.85303609,2842,16.86177408,Pacific,10.53309401,48.06804825,832153612.6,4259.634172,0,1.749896775,Samoan
YEM,-269850000.0,-5.072010019,27834811.0,148.4791763,547244,42.21840895,Asia,6.024135519,31.13388967,26736139802.0,960.528848,0,30.4,Arabic
ZAF,2058579911.0,1.414512626,57009751.0,151.1375341,1219912,26.29313911,Africa,2.361236373,54.50457909,349554116684.0,6131.47945,0,5.181082233,English
ZMB,1107519805.0,3.504336096,16853608.0,174.8716562,752614,37.30404492,Africa,4.024271194,61.81976695,25868165345.0,1535.196574,1,6.577311542,English
ZWE,247187738.8,4.704035391,14236599.0,113.4594685,390759,19.79479782,Africa,7.713515567,44.93743172,22040902300.0,1335.665064,1,0.8939623161,English
