country_iso3,agriculture_forestry_fishing_of_gdp
AFG,23.7436639877543
ALB,18.2267654155688
DZA,8.11059043573339
AND,0.53
AGO,5.84568096888111
ATG,1.93318183889934
ARG,6.99873377022519
ARM,17.5
AUS,2.27654236627696
AUT,1.40191493427276
AZE,5.07622595138436
BHS,1.09230471329484
BHR,0.290850277264325
BGD,16.8099867573503
BLR,8.00175755504565
BEL,0.648034219951815
BLZ,11.6504472331031
BEN,25.7970008253273
BMU,0.312941026259641
BTN,14.2955525913407
BOL,9.7695858816954
BIH,6.75774577677582
BWA,2.51091768009965
BRA,4.34203511988559
BRN,0.575033257520491
BGR,4.64163500145713
BFA,23.043650452489
BDI,36.7045760044036
CPV,7.84317609042481
KHM,34.5573140316336
CMR,13.4796522667294
CAN,1.76566446625627
CYM,0.329023759250102
CAF,37.5690227836114
TCD,51.1962001303935
CHL,3.67120659392567
CHN,9.17765379535199
COL,6.09169610822214
COM,30.5642208431509
COD,20.9170760131139
COG,3.98393619152519
CRI,5.59987212230861
CIV,26.6908494054447
HRV,3.68296629648846
CUB,3.60487027105378
CUW,0.402984053583785
CYP,2.1512815738882
CZE,1.98251099186352
DNK,1.31213398990708
DJI,1
DMA,12.5010164329487
DOM,5.63686024937601
ECU,9.60111666656407
EGY,13.8691050980964
SLV,7.33018829321345
GNQ,1.05350238776435
ERI,14
EST,3.64664306166828
ETH,41.2499638574537
FRO,14.4394424336694
FJI,9.21771557173261
FIN,2.32123556803604
FRA,1.6502871934041
GAB,3.43228977977158
GMB,27.202420609824
GEO,9.13194158257682
DEU,0.910022423855418
GHA,23.663704967184
GRC,3.11375165365917
GRL,14.5808036302829
GRD,4.44779251616389
GTM,11.2587427520036
GIN,16.069749632643
GNB,45.0224585558608
GUY,25.683716722514
HTI,20.0431184952698
HND,14.2196558016976
HKG,0.0487999048815413
HUN,4.00038229565524
ISL,6.60042661433499
IND,17.1919735574898
IDN,13.5122870743946
IRN,5.44726700369876
IRQ,4.56377343749618
IRL,1.21045539236455
ISR,1.56785041493559
ITA,1.88342627816685
JAM,5.64728677796925
JPN,1.0754189233601
JOR,3.50500375059406
KAZ,4.9889741557576
KEN,26.3046046638708
KIR,25.0739372058832
PRK,5
KOR,2.20919995518876
XKX,12.7572956693322
KWT,0.438823407677764
KGZ,16.56531665018
LAO,20.7912551867683
LVA,3.29022139171058
LBN,3.80460970717627
LSO,4.54393031933864
LBR,44.3005004170142
LBY,1
LTU,3.49019426022174
LUX,0.252350036648048
MKD,9.35099292094117
MDG,29.050202128158
MWI,28.7723804157092
MYS,11.4533531198278
MDV,5.385634653611
MLI,34.5586305785061
MLT,0.991911789935635
MHL,13.26697195225
MRT,14.5158947387598
MUS,3.70364769678842
MEX,3.08846155393052
FSM,26.3657173621979
MDA,11.3842529585114
MNG,10.3073568180221
MNE,8.07294578104933
MAR,13.1199875133676
MOZ,25.7515292714485
MMR,32.4961825024034
NAM,8.11362715866322
NRU,3
NPL,30.7373089937796
NLD,1.57897407431895
NZL,6.28423893909166
NIC,18.884220035313
NER,33.6467642815211
NGA,22.2347109927204
NOR,1.34465673332777
OMN,1.25647475829366
PAK,25.1291827073544
PLW,3.75859969295789
PAN,3.22923814081681
PNG,19.1997113715188
PRY,14.1250204425197
PER,7.10011013658205
PHL,14.0957351510823
POL,3.08506431236907
PRT,1.83401602752623
PRI,0.792213784121246
QAT,0.0966060405058313
ROU,6.25328888570003
RUS,3.1507257212962
RWA,23.8500827456247
WSM,8.8369953798775
STP,11.3001321587146
SAU,2.17142778334318
SEN,12.9470610352017
SRB,7.4451509199238
SYC,2.22137693240376
SLE,54.5934658718491
SGP,0.0346645211472078
SXM,0.11936022917164
SVK,2.1627257821802
SVN,2.14260566834084
ZAF,2.2854725377128
SSD,4.67693681681883
ESP,2.37327299407857
LKA,8.83166396340375
KNA,1.36506714373061
LCA,2.34202618789067
VCT,6.36082276574183
SDN,31.9629818007982
SUR,8.73235538333795
SWZ,9.71988478106542
SWE,1.67048248278859
CHE,0.670935894205478
TJK,23.8355098416752
TZA,24.9768644464588
THA,11.5917917775207
TLS,21.9053319470641
TGO,29.8750736235753
TON,17.049495008416
TTO,0.456542570355529
TUN,8.53467551114708
TUR,8.17395626522538
TKM,8.88435455800276
TCA,0.643038813945753
TUV,26.1489804455505
UGA,28.821123716599
UKR,8.19659520719759
ARE,0.671910149003627
GBR,0.696988990694164
USA,1.21648753662505
URY,8.82916199388321
UZB,31.6232422641087
VUT,23.5338509542123
VEN,5.01293006431094
VNM,19.5677511259479
PSE,8.34249649118102
YEM,8.53316922274811
ZMB,9.64805782176724
ZWE,8.6658651729864
