country_iso3,gdp_us_dollar
ABW,3056424581.0
AFG,18869945678.0
AGO,122123822334.0
ALB,13019693451.0
AND,3000180750.0
Arab World,2516121177763.0
ARE,385605506855.0
ARG,643628665303.0
ARM,11527458566.0
ASM,602000000.0
ATG,1467977778.0
AUS,1329188475752.0
AUT,417237869116.0
AZE,40865558912.0
BDI,3172292379.0
BEL,502698069367.0
BEN,12701656931.0
BFA,14106956830.0
BGD,249711027660.0
BGR,58971520599.0
BHR,35473776596.0
BHS,12490700000.0
BIH,18080118128.0
BLR,54726595249.0
BLZ,1836600000.0
BMU,7142316000.0
BOL,37508642165.0
BRA,2062831045936.0
BRB,4978000000.0
BRN,12128104859.0
BTN,2450364928.0
BWA,17405588070.0
CAF,2072350151.0
CAN,1649878054227.0
Central Europe and the Baltics,1463498188698.0
CHE,679950481623.0
CHL,277044950259.0
CHN,12310409370893.0
CIV,51588158718.0
CMR,35009262788.0
ZAR,38019265626.0
COG,11198674674.0
COL,311883730690.0
COM,1077439663.0
Cabo Verde,1769787215.0
CRI,58481858043.0
Caribbean small states,71452564226.0
CUB,96851000000.0
Curacao,3116610112.0
CYM,5153091158.0
CYP,22729184365.0
CZE,218628940952.0
DEU,3682602479929.0
DJI,2751461056.0
DMA,519837037.0
DNK,332121063806.0
DOM,79997975623.0
DZA,170163165961.0
East Asia & Pacific (excluding high income),14835961478596.0
Early-demographic dividend,11399719349295.0
East Asia & Pacific,24222685964338.0
Europe & Central Asia (excluding high income),3114811233223.0
Europe & Central Asia,21610837008712.0
ECU,104295862000.0
EGY,235733695652.0
Euro area,12671044522003.0
ESP,1312539279462.0
EST,26951648829.0
ETH,81770791971.0
EUN,14758432346845.0
Fragile and conflict affected situations,1569590877816.0
FIN,255232257244.0
FJI,5353404419.0
FRA,2595151045198.0
Faroe Islands,2905102304.0
FSM,366666800.0
GAB,14929488771.0
GBR,2666229179958.0
GEO,16242916916.0
GHA,58998132330.0
GIN,10324668267.0
GMB,1504909753.0
GNB,1350177128.0
GNQ,12200914930.0
GRC,203588424740.0
GRD,1125685185.0
GRL,2826651926.0
GTM,71612352645.0
GUM,5851000000.0
GUY,4748174334.0
High income,51468319156974.0
"Hong Kong SAR, China",341244161577.0
HND,23136232230.0
Heavily indebted poor countries (HIPC),713187205162.0
HRV,55481644098.0
HTI,14213814583.0
HUN,142961605733.0
IBRD only,28864183920441.0
IDA & IBRD total,30964942653523.0
IDA total,2107387269942.0
IDA blend,922589446188.0
IDN,1015618742566.0
IDA only,1185503744780.0
Isle of Man,6979581725.0
IND,2652754685835.0
IRL,335663113508.0
IRN,445345256459.0
IRQ,195473049873.0
ISL,24488176541.0
ISR,353253406983.0
ITA,1961796197354.0
JAM,14806340821.0
JOR,41408960787.0
JPN,4866864409658.0
KAZ,166805800596.0
KEN,78965004656.0
KGZ,7702934800.0
KHM,22177200512.0
KIR,187276210.9
KNA,996944444.4
KOR,1623901496836.0
KWT,120707220574.0
Latin America & Caribbean (excluding high income),5425412038876.0
LAO,16853087485.0
LBN,53140638269.0
LBR,3285455000.0
LBY,37883243650.0
LCA,1999090407.0
Latin America & Caribbean,5995428836310.0
Least developed countries: UN classification,1032542265628.0
Low income,503283508817.0
LIE,6552858739.0
LKA,87428125558.0
Lower middle income,5768755648291.0
Low & middle income,29869835182246.0
LSO,2405289384.0
